index.in_slider.start_1,Thousands of people<br/>started earning with<br/>SJPANEL this week<br/>
index.in_slider.start_now,Start earning now
index.in_slider.start_2,Take Surveys<br/>EARN REWARDS
index.in_slider.start_2_1,ANYTIME ANYWHERE
index.in_slider.button_join_now,Join Now
index.in_slider.button_read_more,Read more
index.how_it_works.title_1,"<h1>How it<br/> <span class=""navy""> WORKS</span> </h1>"
index.how_it_works.title_2,Everything is simple
index.how_it_works.title_action,Signup
index.how_it_works.title_subhead,Register yourself with us and you will receive your login credentials on your registered email Id.
index.how_it_works.title_subhead_2,Earn and Redeem Rewards
index.how_it_works.title_subhead_3,Complete the surveys you get and earn points which can be redeemed as rewards once you have accumulated 2000 points
index.how_it_works.title_subhead_4,Update Your Profile
index.how_it_works.title_subhead_5,"Once you are registered with us and have confirmed your valid email id,we will send you few profiler surveys to understand your interests and background."
index.how_it_works.title_subhead_6,Take Survey with points
index.how_it_works.title_subhead_7,"Once you have updated your profile with us, you will start receiving surveys as per your demography and interests with reward points ranging from 100 – 1000 points."
index.get_great_rewards.title_1,Get great rewards
index.get_great_rewards.subtitle_1,"Surveys are more fun, when they come with lots of rewards"
index.get_great_rewards.under.title_1,Rewards
index.get_great_rewards.under.title_2,Rewarding surveys
index.get_great_rewards.under.title_2_details,SJ panel helps you to share your views and influence decisions making for various day to day products you use in your daily life. In addition to this you will receive exciting rewards for each survey you take to share your views.
index.get_great_rewards.under.button_learn_more,Learn More
index.why_you_earn.title_1,How you earn
index.why_you_earn.title_2,We are going to tell you our little secret.
index.why_you_earn.under.subtitle_1,How Is That Possible?
index.why_you_earn.under.subtitle_1_details,"Companies, brands, and organizations from around the globe are constantly seeking the opinions of people just like you to help shape the products they develop and how they market them. They count on paid online surveys to provide them with reliable information. If you spend time online and enjoy giving your opinion, paid surveys are a great way to earn a little extra cash while helping these companies."
index.why_you_earn.under.subtitle_2,Who are we?
index.why_you_earn.under.subtitle_2_details,"SJ Panel is the world’s largest free rewards community. Our members are helping shape the future of products that will be released all around the world. We have relationships with hundreds of brands, who give us thousands of new online surveys a week to provide to you. Your SJ Panel membership is completely free and you can join by filling out the simple registration process. Once you are registered, you can start earning points by completing paid online surveys."
index.what_our_users_say.title_1,What our users say
index.what_our_users_say.details,"It is Simple and entertaining, I just love giving online surveys with SJ Panel and it gets so much exciting when I receive reward points."" </div> <small><strong>03.02.2018 - Andrew Williams</strong></small>"
index.contact_us.title_1,Contact Us
index.contact_us.title_2,Want to contact us? feel free to reach us at
index.contact_us.subtitle,SJ Panel
index.contact_us.subtitle2,RS Sample Junction LLP DBA Sample Junction
index.contact_us.details_1,"202, MM Mall, DC Chowk, Sector - 09<br/>Rohini, Delhi - 110085, India<br/>"
index.contact_us.details_2,"<abbr title=""Phone"">P:</abbr> (+91) 11-45670889<br/>Email: contact@sjpanel.com"
index.contact_us.details_3,"<p class=""text-color"">Sample Junction is a global expert in market research providing online sample for research operations.</p>"
index.contact_us.send_email_button,Email Us
index.contact_us.mailing_social_connection,Or follow us on social platforms
index.footer_Section_1,2018 Sample Junction
index.footer.links.privacy_policy,Privacy Policy
index.footer.links.Safeguards,Safeguards
index.footer.links.FAQ,FAQ
nav.static.toggle_title,Toggle navigation
nav.static.heading_1,Home
nav.static.heading_2,How it works
nav.static.heading_3,Testimonials
nav.static.heading_4,Contact
nav.static.link.home,My Home
nav.static.link.login,Login
nav.static.link.join_now,Join Now!
nav.static.language_1,US
nav.static.language_2,English
nav.static.language_3,Spanish
nav2.static.title,Toggle navigation
nav2.static.link.home,My Home
nav2.static.link.login,Login
nav2.static.link.join_now,Join Now!
nav2.login.static.title,Welcome to SJ Panel
nav2.login.static.subtitle,SJ panel helps you to share your views and influence decisions making for various day to day products you use in your daily life. In addition to this you will receive exciting rewards for each survey you take to share your views.
nav2.login.static.footer_title_1,SJ Panel
nav2.login.static.footer,SJ Panel
nav2.register.static.title,Welcome to SJ Panel
nav2.register.static.subtitle,"SJ Panel is the world’s largest free rewards community. Our members are helping shape the future of products that will be released all around the world. We have relationships with hundreds of brands, who give us thousands of new online surveys a week to provide to you. Your SJ Panel membership is completely free and you can join by filling out the simple registration process. Once you are registered, you can start earning points by completing online  surveys"
nav2.register.static.gender_male,Male
nav2.register.static.gender_female,Female
nav2.register.static.footer_title_1,Copyright SJ Panel
nav2.register.static.footer_title_2,Privacy and Terms
nav2.register.static.footer_terms,"To create an SJ Panel Account, you’ll need to agree to the Terms of Service below"
nav2.register.static.footer_privacy_priority,Your privacy is our top priority!
nav2.register.static.footer_welcome,We welcome you to join SJ Panel community. Please be informed that:
nav2.register.static.footer_required_details_info,<li><p>We are GDPR (General Data Protection Regulation) compliant.</p></li>
nav2.register.static.footer_link_do_not_create_account,Don't create account
nav2.register.static.footer_button_accept,I Accept
